Søkenavn;Art1;Art2;Art3;Gml1;Gml2;Gml3;Tar1;Tar2;Tar3;EmmaNavn;Kat;Notat;;Ant tegn;Art1,2,3;Gml;HS;Toll NÅ;
44201000;442010;442010;0;574;44201000;0;44201000;44201000;;Tredekor;;;;8;#REF!;#REF!;#REF!;#REF!;
44209000;442011;442011;0;570;44209000;0;44209000;44209000;;Tredekor;;;;8;#REF!;#REF!;#REF!;#REF!;
46021900;460214;460214;460214;504;504;504;46021901;46021901;46021901;Flettearbeid;;;;12;#REF!;#REF!;#REF!;#REF!;
46029000;460214;460214;460214;504;504;504;46021901;46021901;46021901;Flette- og kurvmakerarbeid;;;;26;#REF!;#REF!;#REF!;#REF!;
48025500;480214;480214;0;578;48025500;0;48025500;48025500;;Papir 40g/m2;;;;12;#REF!;#REF!;#REF!;#REF!;
48081000;480810;480810;0;579;48081000;0;48081000;48081000;;Pappesker;;;;9;#REF!;#REF!;#REF!;#REF!;
48191000;481910;481910;0;580;48191000;0;48191000;48191000;;Pappesker av bølgepapp;;;;22;#REF!;#REF!;#REF!;#REF!;
48194000;481914;481914;0;581;48194000;0;48194000;48194000;;Papposer (kremmerhus);;;;21;#REF!;#REF!;#REF!;#REF!;
49019900;490118;490118;0;582;49019909;0;49019909;49019909;;Bøker;;;;5;#REF!;#REF!;#REF!;#REF!;
49111000;491114;491114;0;583;49111099;0;49111099;49111099;;Reklametrykksaker, nok 50/kg;;;;28;#REF!;#REF!;#REF!;#REF!;
53101000;531010;531010;0;584;53101000;0;53101000;53101000;;Jute ubleika;;;;12;#REF!;#REF!;#REF!;#REF!;
53109000;531010;531010;0;585;53101000;0;53101000;53101000;;Jute ubleika;;;;12;#REF!;#REF!;#REF!;#REF!;
54049000;540413;540413;0;586;54049000;0;54049000;54049000;;Deco strip(synt monofilamenter);;;;31;#REF!;#REF!;#REF!;#REF!;
58061000;580610;580610;0;587;58061000;0;58061000;58061000;;Vevde bånd;;;;10;#REF!;#REF!;#REF!;#REF!;
67010000;50510;50510;0;588;5051000;0;5051000;5051000;;Fuglefjær;;;;9;#REF!;#REF!;#REF!;#REF!;
67021000;670210;670210;0;589;67021000;0;67021000;67021000;;Kunstige blomster;;;;17;#REF!;#REF!;#REF!;#REF!;
67029000;670211;670211;0;590;67029000;0;67029000;67029000;;Kunstige blomster;;;;17;#REF!;#REF!;#REF!;#REF!;
68029900;680217;680217;0;591;68029900;0;68029900;68029900;;Varer av stein;;;;14;#REF!;#REF!;#REF!;#REF!;
68062000;680611;680611;0;592;68062000;0;68062000;68062000;;Hydrocorn 40l lecakuler;;;;23;#REF!;#REF!;#REF!;#REF!;
69120000;691312;691211;0;256;69120090;0;69139000;69120090;;Keramiske potter;;;;16;#REF!;#REF!;#REF!;#REF!;
69139000;691312;691311;0;256;69139000;0;69139000;69139000;;Keramiske varer;;;;15;#REF!;#REF!;#REF!;#REF!;
69141000;691413;691413;0;593;69141000;0;69141000;69141000;;Varer av porselen;;;;17;#REF!;#REF!;#REF!;#REF!;
70109000;701319;701319;0;594;70139900;0;70139900;70139900;;Glassvarer;;;;10;#REF!;#REF!;#REF!;#REF!;
70139000;701319;701319;0;595;70139900;0;70139900;70139900;;Glassvarer;;;;10;#REF!;#REF!;#REF!;#REF!;
70199000;701920;701920;0;596;70199000;0;70199000;70199000;;Fiberglass;;;;10;#REF!;#REF!;#REF!;#REF!;
73101000;731010;731010;0;597;73101000;0;73101000;73101000;;Beholder større enn 50 l;;;;24;#REF!;#REF!;#REF!;#REF!;
73262000;732616;732616;0;598;73262000;0;73262000;73262000;;Varer av jern eller ståltråd;;;;28;#REF!;#REF!;#REF!;#REF!;
73269000;732617;732617;0;599;73269000;0;73269000;73269000;;Jernvarer;;;;9;#REF!;#REF!;#REF!;#REF!;
76129000;761213;761213;0;600;76129009;0;76129009;76129009;;Alu.Bokser;;;;10;#REF!;#REF!;#REF!;#REF!;
76169900;761612;761612;0;601;76169900;0;76169900;76169900;;Aluminiumsvarer;;;;15;#REF!;#REF!;#REF!;#REF!;
79070000;790710;790710;0;602;79070000;0;79070000;79070000;;Varer av zink;;;;13;#REF!;#REF!;#REF!;#REF!;
82019000;820115;820115;0;603;82019000;0;82019000;82019000;;Hageredskaper;;;;13;#REF!;#REF!;#REF!;#REF!;
83062900;830612;830612;0;604;83062900;0;83062900;83062900;;Pynt av metall, metalldekor;;;;27;#REF!;#REF!;#REF!;#REF!;
84651000;846614;846614;0;605;84669200;0;84669200;84669200;;Maskindeler;;;;11;#REF!;#REF!;#REF!;#REF!;
94032000;940315;940315;0;606;94032009;0;94032009;94032009;;Metalmøbler-Displaymøbler;;;;25;#REF!;#REF!;#REF!;#REF!;
94036000;940327;940327;0;607;94036099;0;94036099;94036099;;Tremøbler;;;;9;#REF!;#REF!;#REF!;#REF!;
95051000;950510;950510;0;608;95051000;0;95051000;95051000;;Julepynt (ikke plastdekor);;;;26;#REF!;#REF!;#REF!;#REF!;
95051000;950510;950510;0;609;95051000;0;95051000;95051000;;Juledekor;;;;9;#REF!;#REF!;#REF!;#REF!;
95059000;950513;950513;0;610;95059000;0;95059000;95059000;;Høytidsdekor o.l.;;;;17;#REF!;#REF!;#REF!;#REF!;
96020000;340610;340610;0;611;34060000;0;34060000;34060000;;Stearinlys;;;;10;#REF!;#REF!;#REF!;#REF!;
96099000;960912;960912;0;612;96099000;0;96099000;96099000;;Tegnekritt;;;;10;#REF!;#REF!;#REF!;#REF!;
6029091;60243;60243;0;114;6029049;0;6029049;6029049;;Blomstrende,Ukategorisert spp;;;;29;#REF!;#REF!;#REF!;#REF!;
6029099;60238;60233;0;152;156;0;6029039;6029023;;Grønnplanter, ukategorisert;156;;;27;#REF!;#REF!;#REF!;#REF!;
6039099;60233;60233;0;6029039;6029023;0;6029023;6029023;;Grønne potteplanter u/kategori;;;;30;#REF!;#REF!;#REF!;#REF!;
6042090;60412;60412;0;252;252;0;6042099;6042099;;Snittgrønt spp;;;;14;#REF!;#REF!;#REF!;#REF!;
6049000;60414;60414;0;6049000;6049000;0;6049000;6049000;;Tørkede greiner;;;;15;#REF!;#REF!;#REF!;#REF!;
6049099;60412;60412;0;252;252;0;6042099;6042099;;Snittgrønt spp;;;;14;#REF!;#REF!;#REF!;#REF!;
6049099;60412;60412;0;252;252;0;6042099;6042099;;Snittgrønt spp;;;;14;#REF!;#REF!;#REF!;#REF!;
7616990;761612;761612;0;613;76169900;0;76169900;76169900;;Aluminiumsvarer;;;;15;#REF!;#REF!;#REF!;#REF!;
7803053;60231;60231;0;172;172;0;6029021;6029021;;X phylliopsis (lyngplante);;;;26;#REF!;#REF!;#REF!;#REF!;
7803054;60231;60231;0;172;172;0;6029021;6029021;;X phylliopsis (lyngplante);;;;26;#REF!;#REF!;#REF!;#REF!;
14049000;460214;460214;460214;504;504;504;46021901;46021901;46021901;Flettearbeider,Kurver;;;;21;#REF!;#REF!;#REF!;#REF!;
31029000;310220;310220;0;554;31029000;0;31029000;31029000;;Blomsternæring/Liquid nutrients;;;;31;#REF!;#REF!;#REF!;#REF!;
32129000;321213;321213;0;555;32129099;0;32129099;32129099;;Pigmenter;;;;9;#REF!;#REF!;#REF!;#REF!;
32129099;321213;321213;0;555;32129099;0;32129099;32129099;;Pigmenter;;;;9;#REF!;#REF!;#REF!;#REF!;
34060000;340610;340610;0;611;34060000;0;34060000;34060000;;Lys av stearin eller voks;;;;25;#REF!;#REF!;#REF!;#REF!;
35061000;350611;350611;0;556;35061009;0;35061009;35061009;;Lim;;;;3;#REF!;#REF!;#REF!;#REF!;
35061009;350611;350611;0;556;35061009;0;35061009;35061009;;Lim;;;;3;#REF!;#REF!;#REF!;#REF!;
38239000;382435;382435;0;557;38249909;0;38249909;38249909;;Leafshine;;;;9;#REF!;#REF!;#REF!;#REF!;
38239098;382435;382435;0;557;38249909;0;38249909;38249909;;Leafshine;;;;9;#REF!;#REF!;#REF!;#REF!;
39095000;390917;390917;0;558;39095009;0;39095009;39095009;;Insulation foam (polyuretaner);;;;30;#REF!;#REF!;#REF!;#REF!;
39095009;390917;390917;0;558;39095009;0;39095009;39095009;;Insulation foam (polyuretaner);;;;30;#REF!;#REF!;#REF!;#REF!;
39191011;391912;391912;0;560;39191090;0;39191090;39191090;;Selvklebende tape;;;;17;#REF!;#REF!;#REF!;#REF!;
39201000;392010;392010;0;626;39201000;0;39201000;39201000;;Plastfolie;;;;10;#REF!;#REF!;#REF!;#REF!;
39231000;392312;392312;0;561;39231006;0;39231006;39231006;;Plastpotter;;;;11;#REF!;#REF!;#REF!;#REF!;
39261000;392610;392610;0;566;39261000;0;39261000;39261000;;Kontorartikler;;;;14;#REF!;#REF!;#REF!;#REF!;
39264000;392613;392613;0;567;39264000;0;39264000;39264000;;Plastdekor;;;;10;#REF!;#REF!;#REF!;#REF!;
39269000;392625;392625;0;260;260;0;39269098;39269098;;Plastvarer;;;;10;#REF!;#REF!;#REF!;#REF!;
40070000;400710;400710;0;569;40070000;0;40070000;40070000;;Gummitråd;;;;9;#REF!;#REF!;#REF!;#REF!;
44012200;442011;442011;0;570;44209000;0;44209000;44209000;;Tredekor;;;;8;#REF!;#REF!;#REF!;#REF!;
44050000;440510;440510;0;571;44050000;0;44050000;44050000;;"Treull ""wood wool""";;;;18;#REF!;#REF!;#REF!;#REF!;
44151000;441510;441510;0;572;44151000;0;44151000;44151000;;Trekasser;;;;9;#REF!;#REF!;#REF!;#REF!;
44152000;441512;441512;0;573;44152000;0;44152000;44152000;;Paller;;;;6;#REF!;#REF!;#REF!;#REF!;
44201000;442010;442010;0;574;44201000;0;44201000;44201000;;Tredekor;;;;8;#REF!;#REF!;#REF!;#REF!;
44201019;442010;442010;0;574;44201000;0;44201000;44201000;;Tredekor;;;;8;#REF!;#REF!;#REF!;#REF!;
44209099;442011;442011;0;570;44209000;0;44209000;44209000;;Tredekor;;;;8;#REF!;#REF!;#REF!;#REF!;
46021990;460214;460214;460214;504;504;504;46021901;46021901;46021901;Flettearbeid;;;;12;#REF!;#REF!;#REF!;#REF!;
46029000;460214;460214;460214;504;504;504;46021901;46021901;46021901;Flette- og kurvmakerarbeid;;;;26;#REF!;#REF!;#REF!;#REF!;
48025500;480214;480214;0;578;48025500;0;48025500;48025500;;Papir 40g/m2;;;;12;#REF!;#REF!;#REF!;#REF!;
48081000;480810;480810;0;579;48081000;0;48081000;48081000;;Pappesker;;;;9;#REF!;#REF!;#REF!;#REF!;
53101010;531010;531010;0;645;53101000;0;53101000;53101000;;Jute ubleika;;;;12;#REF!;#REF!;#REF!;#REF!;
53109000;531010;531010;0;646;53101000;0;53101000;53101000;;Jute, ellers;;;;12;#REF!;#REF!;#REF!;#REF!;
53109090;531010;531010;0;647;53101000;0;53101000;53101000;;Jute, ellers;;;;12;#REF!;#REF!;#REF!;#REF!;
54049000;540413;540413;0;648;54049000;0;54049000;54049000;;Deco strip(synt monofilamenter);;;;31;#REF!;#REF!;#REF!;#REF!;
54049010;540413;540413;0;649;54049000;0;54049000;54049000;;Deco strip(synt monofilamenter);;;;31;#REF!;#REF!;#REF!;#REF!;
56074900;560713;560713;0;650;56074900;0;56074900;56074900;;Binderitråd/Hyssing av plast;;;;28;#REF!;#REF!;#REF!;#REF!;
58061000;580610;580610;0;651;58061000;0;58061000;58061000;;Vevde bånd;;;;10;#REF!;#REF!;#REF!;#REF!;
67010000;50510;50510;0;588;5051000;0;5051000;5051000;;Fuglefjær;;;;9;#REF!;#REF!;#REF!;#REF!;
68029990;680217;680217;0;653;68029900;0;68029900;68029900;;Varer av stein;;;;14;#REF!;#REF!;#REF!;#REF!;
68062010;680611;680611;0;654;68062000;0;68062000;68062000;;Hydrocorn 40l;;;;13;#REF!;#REF!;#REF!;#REF!;
69120000;691312;691312;0;256;256;0;69139000;69139000;;Keramiske potter;;;;16;#REF!;#REF!;#REF!;#REF!;
69120010;691312;691312;0;256;256;0;69139000;69139000;;Keramiske potter;;;;16;#REF!;#REF!;#REF!;#REF!;
69141000;691413;691413;0;655;69141000;0;69141000;69141000;;Varer av porselen;;;;17;#REF!;#REF!;#REF!;#REF!;
70109021;701319;701319;0;656;70139900;0;70139900;70139900;;Glassvarer;;;;10;#REF!;#REF!;#REF!;#REF!;
70139000;701319;701319;0;657;70139900;0;70139900;70139900;;Glassvarer;;;;10;#REF!;#REF!;#REF!;#REF!;
70139990;701319;701319;0;658;70139900;0;70139900;70139900;;Glassvarer;;;;10;#REF!;#REF!;#REF!;#REF!;
70199000;701920;701920;0;659;70199000;0;70199000;70199000;;Fiberglass;;;;10;#REF!;#REF!;#REF!;#REF!;
70199099;701920;701920;0;660;70199000;0;70199000;70199000;;Fiberglass;;;;10;#REF!;#REF!;#REF!;#REF!;
73101000;731010;731010;0;661;73101000;0;73101000;73101000;;Beholder større enn 50 l;;;;24;#REF!;#REF!;#REF!;#REF!;
73269098;732617;732617;0;662;73269000;0;73269000;73269000;;Jernvarer;;;;9;#REF!;#REF!;#REF!;#REF!;
76129098;761213;761213;0;663;76129009;0;76129009;76129009;;Alu.Bokser;;;;10;#REF!;#REF!;#REF!;#REF!;
79070000;790710;790710;0;664;79070000;0;79070000;79070000;;Varer av zink;;;;13;#REF!;#REF!;#REF!;#REF!;
82019000;820115;820115;0;665;82019000;0;82019000;82019000;;Hageredskaper;;;;13;#REF!;#REF!;#REF!;#REF!;
82019000;820115;820115;0;666;82019000;0;82019000;82019000;;Hageredskaper;;;;13;#REF!;#REF!;#REF!;#REF!;
83062900;830612;830612;0;667;83062900;0;83062900;83062900;;Pynt av metall, metalldekor;;;;27;#REF!;#REF!;#REF!;#REF!;
84651010;846614;846614;0;668;84669200;0;84669200;84669200;;Maskindeler;;;;11;#REF!;#REF!;#REF!;#REF!;
95051000;950510;950510;0;669;95051000;0;95051000;95051000;;Juledekor;;;;9;#REF!;#REF!;#REF!;#REF!;
95051010;950510;950510;0;671;95051000;0;95051000;95051000;;Juledekor;;;;9;#REF!;#REF!;#REF!;#REF!;
95059000;950513;950513;0;671;95059000;0;95059000;95059000;;Høytidsdekor o.l.;;;;17;#REF!;#REF!;#REF!;#REF!;
95059090;950513;950513;0;672;95059000;0;95059000;95059000;;Høytidsdekor o.l.;;;;17;#REF!;#REF!;#REF!;#REF!;
96020000;340610;340610;0;611;34060000;0;34060000;34060000;;Stearinlys;;;;10;#REF!;#REF!;#REF!;#REF!;
69139000;691312;691312;0;256;256;0;69139000;69139000;;Keramiske varer;;;;15;#REF!;#REF!;#REF!;#REF!;
Mix;999;999;999;999;999;999;99999999;99999999;99999999;Mix - tarifferes manuelt;;;;24;999999999;#REF!;#REF!;;
BUXUS SEMPERVIRENS;60231;60231;0;172;172;0;6029021;6029021;;Buxus sempervirens;;;;18;#REF!;#REF!;#REF!;#REF!;
Buxus;60231;60231;0;172;172;0;6029021;6029021;;Buxus buxbom;;;;12;#REF!;#REF!;#REF!;#REF!;
Buxus sem;60231;60231;0;172;172;0;6029021;6029021;;Buxus buxbom;;;;12;#REF!;#REF!;#REF!;#REF!;
3403M;60239;60239;0;110;110;0;6029043;6029043;;Kalanchoe blossfeldiana (mini);110;;;30;#REF!;#REF!;#REF!;#REF!;
Aa;60112;60112;0;244;244;0;6012000;6012000;;Aa spp;;;;6;#REF!;#REF!;#REF!;#REF!;
Abdominea;60112;60112;0;244;244;0;6012000;6012000;;Abdominea spp;;;;13;#REF!;#REF!;#REF!;#REF!;
ABELIA;60243;60243;0;114;114;0;6029049;6029049;;Abelia spp;;;;10;#REF!;#REF!;#REF!;#REF!;
ABELIA CHI;60243;60243;0;114;114;0;6029049;6029049;;Abelia chinensis;;;;16;#REF!;#REF!;#REF!;#REF!;
ABELIA CHINENSIS;60243;60243;0;114;114;0;6029049;6029049;;Abelia chinensis;;;;16;#REF!;#REF!;#REF!;#REF!;
ABELIA GRA;60243;60243;0;114;114;0;6029049;6029049;;Abelia grandiflora;;;;18;#REF!;#REF!;#REF!;#REF!;
ABELIA GRANDIFLORA;60243;60243;0;114;114;0;6029049;6029049;;Abelia grandiflora;;;;18;#REF!;#REF!;#REF!;#REF!;
Abelia mos;60231;60231;0;172;172;0;6029021;6029021;;Abelia mosanensis;;;;17;#REF!;#REF!;#REF!;#REF!;
Abelia mosanensis;60231;60231;0;172;172;0;6029021;6029021;;Abelia mosanensis;;;;17;#REF!;#REF!;#REF!;#REF!;
ABIES;60231;60231;0;172;172;0;6029021;6029021;;Abies spp;;;;9;#REF!;#REF!;#REF!;#REF!;
ABIES AMA;60231;60231;0;172;172;0;6029021;6029021;;Abies amabilis;;;;14;#REF!;#REF!;#REF!;#REF!;
ABIES AMABILIS;60231;60231;0;172;172;0;6029021;6029021;;Abies amabilis;;;;14;#REF!;#REF!;#REF!;#REF!;
Abies con;60231;60231;0;172;172;0;6029021;6029021;;Abies concolor;;;;14;#REF!;#REF!;#REF!;#REF!;
Abies concolor;60231;60231;0;172;172;0;6029021;6029021;;Abies concolor;;;;14;#REF!;#REF!;#REF!;#REF!;
ABIES KOR;60231;60231;0;172;172;0;6029021;6029021;;Abies koreana;;;;13;#REF!;#REF!;#REF!;#REF!;
ABIES KOREANA;60231;60231;0;172;172;0;6029021;6029021;;Abies koreana;;;;13;#REF!;#REF!;#REF!;#REF!;
ABIES LAS;60231;60231;0;172;172;0;6029021;6029021;;Abies lasiocarpa;;;;16;#REF!;#REF!;#REF!;#REF!;
ABIES LASIOCARPA;60231;60231;0;172;172;0;6029021;6029021;;Abies lasiocarpa;;;;16;#REF!;#REF!;#REF!;#REF!;
ABIES NOB;60231;60231;0;172;172;0;6029021;6029021;;Abies nobilis;;;;13;#REF!;#REF!;#REF!;#REF!;
ABIES NOBILIS;60231;60231;0;172;172;0;6029021;6029021;;Abies nobilis;;;;13;#REF!;#REF!;#REF!;#REF!;
ABIES NOR;60231;60231;0;172;172;0;6029021;6029021;;Abies nordmanniana;;;;18;#REF!;#REF!;#REF!;#REF!;
ABIES NOR;60231;60231;0;172;172;0;6029021;6029021;;Abies nordmanniana træer;;;;24;#REF!;#REF!;#REF!;#REF!;
ABIES NORDMANNIANA;60231;60231;0;172;172;0;6029021;6029021;;Abies nordmanniana;;;;18;#REF!;#REF!;#REF!;#REF!;
ABIES NORDMANNIANA TRÆER;60231;60231;0;172;172;0;6029021;6029021;;Abies nordmanniana træer;;;;24;#REF!;#REF!;#REF!;#REF!;
ABIES NUM;60231;60231;0;172;172;0;6029021;6029021;;Abies numidica;;;;14;#REF!;#REF!;#REF!;#REF!;
ABIES NUMIDICA;60231;60231;0;172;172;0;6029021;6029021;;Abies numidica;;;;14;#REF!;#REF!;#REF!;#REF!;
ABUTILON;60232;60232;0;220;220;0;6029022;6029022;;Abutilon spp;;;;12;#REF!;#REF!;#REF!;#REF!;
ABUTILON HYB;60238;60233;0;152;156;0;6029039;6029023;;Abutilon hybrid;156;;;15;#REF!;#REF!;#REF!;#REF!;
ABUTILON HYBRID;60238;60233;0;152;156;0;6029039;6029023;;Abutilon hybrid;156;;;15;#REF!;#REF!;#REF!;#REF!;
ABUTILON MEG;60232;60232;0;220;220;0;6029022;6029022;;Abutilon megapotamicum;;;;22;#REF!;#REF!;#REF!;#REF!;
ABUTILON MEGAPOTAMICUM;60232;60232;0;220;220;0;6029022;6029022;;Abutilon megapotamicum;;;;22;#REF!;#REF!;#REF!;#REF!;
ABUTILON PIC;60243;60243;0;114;114;0;6029049;6029049;;Abutilon pictum;;;;15;#REF!;#REF!;#REF!;#REF!;
ABUTILON PICTUM;60243;60243;0;114;114;0;6029049;6029049;;Abutilon pictum;;;;15;#REF!;#REF!;#REF!;#REF!;
ACACIA;60243;60243;0;114;114;0;6029049;6029049;;Acacia spp;;;;10;#REF!;#REF!;#REF!;#REF!;
ACACIA ARM;60243;60243;0;114;114;0;6029049;6029049;;Acacia armata;;;;13;#REF!;#REF!;#REF!;#REF!;
ACACIA ARMATA;60243;60243;0;114;114;0;6029049;6029049;;Acacia armata;;;;13;#REF!;#REF!;#REF!;#REF!;
ACACIA DEA;60243;60243;0;114;114;0;6029049;6029049;;Acacia dealbata;;;;15;#REF!;#REF!;#REF!;#REF!;
ACACIA DEALBATA;60243;60243;0;114;114;0;6029049;6029049;;Acacia dealbata;;;;15;#REF!;#REF!;#REF!;#REF!;
ACACIA DEC;60243;60243;0;114;114;0;6029049;6029049;;Acacia decurrens;;;;16;#REF!;#REF!;#REF!;#REF!;
ACACIA DECURRENS;60243;60243;0;114;114;0;6029049;6029049;;Acacia decurrens;;;;16;#REF!;#REF!;#REF!;#REF!;
ACAENA;60232;60232;0;220;220;0;6029022;6029022;;Acaena spp;;;;10;#REF!;#REF!;#REF!;#REF!;
ACAENA MIC;60232;60232;0;220;220;0;6029022;6029022;;Acaena microphylla;;;;18;#REF!;#REF!;#REF!;#REF!;
ACAENA MICROPHYLLA;60232;60232;0;220;220;0;6029022;6029022;;Acaena microphylla;;;;18;#REF!;#REF!;#REF!;#REF!;
ACALYPHA;60243;60243;0;114;114;0;6029049;6029049;;Acalypha spp;;;;12;#REF!;#REF!;#REF!;#REF!;
ACALYPHA GOD;60238;60233;0;152;156;0;6029039;6029023;;Acalypha godseffiana;156;;;20;#REF!;#REF!;#REF!;#REF!;
ACALYPHA GODSEFFIANA;60238;60233;0;152;156;0;6029039;6029023;;Acalypha godseffiana;156;;;20;#REF!;#REF!;#REF!;#REF!;
ACALYPHA HIS;60243;60243;0;114;114;0;6029049;6029049;;Acalypha hispida;;;;16;#REF!;#REF!;#REF!;#REF!;
ACALYPHA HISPIDA;60243;60243;0;114;114;0;6029049;6029049;;Acalypha hispida;;;;16;#REF!;#REF!;#REF!;#REF!;
ACALYPHA PEN;60243;60243;0;114;114;0;6029049;6029049;;Acalypha pendula;;;;16;#REF!;#REF!;#REF!;#REF!;
ACALYPHA PENDULA;60243;60243;0;114;114;0;6029049;6029049;;Acalypha pendula;;;;16;#REF!;#REF!;#REF!;#REF!;
ACALYPHA REP;60243;60243;0;114;114;0;6029049;6029049;;Acalypha reptans;;;;16;#REF!;#REF!;#REF!;#REF!;
ACALYPHA REPTANS;60243;60243;0;114;114;0;6029049;6029049;;Acalypha reptans;;;;16;#REF!;#REF!;#REF!;#REF!;
ACALYPHA WIL;60243;60243;0;114;114;0;6029049;6029049;;Acalypha wilkesiana;;;;19;#REF!;#REF!;#REF!;#REF!;
ACALYPHA WILKESIANA;60243;60243;0;114;114;0;6029049;6029049;;Acalypha wilkesiana;;;;19;#REF!;#REF!;#REF!;#REF!;
Acampe;60112;60112;0;244;244;0;6012000;6012000;;Acampe spp;;;;10;#REF!;#REF!;#REF!;#REF!;
Acanthephippium;60112;60112;0;244;244;0;6012000;6012000;;Acanthephippium spp;;;;19;#REF!;#REF!;#REF!;#REF!;
ACANTHUS;60232;60232;0;220;220;0;6029022;6029022;;Acanthus spp;;;;12;#REF!;#REF!;#REF!;#REF!;
ACANTHUS MOL;60232;60232;0;220;220;0;6029022;6029022;;Acanthus mollis;;;;15;#REF!;#REF!;#REF!;#REF!;
ACANTHUS MOLLIS;60232;60232;0;220;220;0;6029022;6029022;;Acanthus mollis;;;;15;#REF!;#REF!;#REF!;#REF!;
ACER;60231;60231;0;172;172;0;6029021;6029021;;Acer spp;;;;8;#REF!;#REF!;#REF!;#REF!;
ACER CAM;60231;60231;0;172;172;0;6029021;6029021;;Acer campestre;;;;14;#REF!;#REF!;#REF!;#REF!;
ACER CAMPESTRE;60231;60231;0;172;172;0;6029021;6029021;;Acer campestre;;;;14;#REF!;#REF!;#REF!;#REF!;
ACER CIR;60231;60231;0;172;172;0;6029021;6029021;;Acer circinatum;;;;15;#REF!;#REF!;#REF!;#REF!;
ACER CIRCINATUM;60231;60231;0;172;172;0;6029021;6029021;;Acer circinatum;;;;15;#REF!;#REF!;#REF!;#REF!;
ACER GIN;60231;60231;0;172;172;0;6029021;6029021;;Acer ginnala;;;;12;#REF!;#REF!;#REF!;#REF!;
ACER GINNALA;60231;60231;0;172;172;0;6029021;6029021;;Acer ginnala;;;;12;#REF!;#REF!;#REF!;#REF!;
ACER GRI;60231;60231;0;172;172;0;6029021;6029021;;Acer griseum;;;;12;#REF!;#REF!;#REF!;#REF!;
ACER GRISEUM;60231;60231;0;172;172;0;6029021;6029021;;Acer griseum;;;;12;#REF!;#REF!;#REF!;#REF!;
ACER JAP;60231;60231;0;172;172;0;6029021;6029021;;Acer japonicum;;;;14;#REF!;#REF!;#REF!;#REF!;
